,location_id,total,name,year,location_name
294,1,76539,Brasil,2009,Urbana
295,1,77413,Brasil,2010,Urbana
296,1,81170,Brasil,2015,Urbana
297,1,82032,Brasil,2016,Urbana
298,1,82769,Brasil,2017,Urbana
299,1,82896,Brasil,2018,Urbana
300,1,83570,Brasil,2019,Urbana
301,1,74846,Brasil,2007,Urbana
302,1,75635,Brasil,2008,Urbana
303,1,76539,Brasil,2009,Urbana
304,1,77413,Brasil,2010,Urbana
305,1,81170,Brasil,2015,Urbana
306,1,82032,Brasil,2016,Urbana
307,1,82769,Brasil,2017,Urbana
308,1,82896,Brasil,2018,Urbana
309,1,83570,Brasil,2019,Urbana
310,2,77015,Brasil,2007,Rural
311,2,75785,Brasil,2008,Rural
312,2,73535,Brasil,2009,Rural
313,2,70680,Brasil,2010,Rural
314,2,59328,Brasil,2015,Rural
315,2,58013,Brasil,2016,Rural
316,2,56008,Brasil,2017,Rural
317,2,53217,Brasil,2018,Rural
318,2,51807,Brasil,2019,Rural
319,1,62020,Brasil,2015,Urbana
320,1,62419,Brasil,2016,Urbana
321,1,62727,Brasil,2017,Urbana
322,1,62656,Brasil,2018,Urbana
323,1,62941,Brasil,2019,Urbana
324,2,56430,Brasil,2015,Rural
325,2,55118,Brasil,2016,Rural
326,2,52951,Brasil,2017,Rural
327,2,50149,Brasil,2018,Rural
328,2,48643,Brasil,2019,Rural
329,1,74846,Brasil,2007,Urbana
330,1,75635,Brasil,2008,Urbana
331,1,76539,Brasil,2009,Urbana
332,1,77413,Brasil,2010,Urbana
333,1,81170,Brasil,2015,Urbana
334,1,82032,Brasil,2016,Urbana
335,1,82769,Brasil,2017,Urbana
336,1,82896,Brasil,2018,Urbana
337,1,83570,Brasil,2019,Urbana
338,2,77015,Brasil,2007,Rural
339,2,75785,Brasil,2008,Rural
340,2,73535,Brasil,2009,Rural
341,2,70680,Brasil,2010,Rural
342,2,59328,Brasil,2015,Rural
343,2,58013,Brasil,2016,Rural
344,2,56008,Brasil,2017,Rural
345,2,53217,Brasil,2018,Rural
346,2,51807,Brasil,2019,Rural
347,1,74846,Brasil,2007,Urbana
348,1,75635,Brasil,2008,Urbana
349,1,76539,Brasil,2009,Urbana
350,1,77413,Brasil,2010,Urbana
351,1,81170,Brasil,2015,Urbana
352,1,82032,Brasil,2016,Urbana
353,1,82769,Brasil,2017,Urbana
354,1,82896,Brasil,2018,Urbana
355,1,83570,Brasil,2019,Urbana
