,total,year,adm_dependency_detailed_id,school_year_id,adm_dependency_detailed_name,school_year_name
253,484,2008,7,61.0,Privada não conveniada com fins lucrativos,EJA - anos iniciais do Ens. Fundamental
254,40,2008,7,62.0,Privada não conveniada com fins lucrativos,EJA - anos finais do Ens. Fundamental
255,353267,2008,7,71.0,Privada não conveniada com fins lucrativos,Educação Profissional
256,159,2009,1,11.0,Federal,Creche - Menor de 1 ano
257,280,2009,1,12.0,Federal,Creche - 1 ano
258,422,2009,1,13.0,Federal,Creche - 2 anos
259,536,2009,1,14.0,Federal,Creche - 3 anos
260,602,2009,1,21.0,Federal,Pré-escola - 4 anos
261,575,2009,1,22.0,Federal,Pré-escola - 5 anos
262,1171,2009,1,31.0,Federal,Ens. Fundamental - 1º Ano
263,1401,2009,1,32.0,Federal,Ens. Fundamental - 1ª série/2º ano
264,1477,2009,1,33.0,Federal,Ens. Fundamental - 2ª série/3º ano
265,1585,2009,1,34.0,Federal,Ens. Fundamental - 3ª série/4º ano
266,1658,2009,1,35.0,Federal,Ens. Fundamental - 4ª série/5º Ano
267,3995,2009,1,41.0,Federal,Ens. Fundamental - 5ª série/6º ano
268,4478,2009,1,42.0,Federal,Ens. Fundamental - 6ª série/7º ano
269,4905,2009,1,43.0,Federal,Ens. Fundamental - 7ª série/8º ano
270,4842,2009,1,44.0,Federal,Ens. Fundamental - 8ª serie/9º ano
271,40810,2009,1,51.0,Federal,Ens. Médio - 1ª série
272,26340,2009,1,52.0,Federal,Ens. Médio - 2ª série
273,20243,2009,1,53.0,Federal,Ens. Médio - 3ª série
274,3137,2009,1,54.0,Federal,Ens. Médio - 4ª série
275,185,2009,1,61.0,Federal,EJA - anos iniciais do Ens. Fundamental
276,613,2009,1,62.0,Federal,EJA - anos finais do Ens. Fundamental
277,11690,2009,1,63.0,Federal,EJA - Ensino Médio
278,86634,2009,1,71.0,Federal,Educação Profissional
279,726,2009,2,11.0,Estadual,Creche - Menor de 1 ano
280,1360,2009,2,12.0,Estadual,Creche - 1 ano
281,2937,2009,2,13.0,Estadual,Creche - 2 anos
282,8759,2009,2,14.0,Estadual,Creche - 3 anos
283,27545,2009,2,21.0,Estadual,Pré-escola - 4 anos
284,99922,2009,2,22.0,Estadual,Pré-escola - 5 anos
285,279420,2009,2,31.0,Estadual,Ens. Fundamental - 1º Ano
286,653992,2009,2,32.0,Estadual,Ens. Fundamental - 1ª série/2º ano
287,736142,2009,2,33.0,Estadual,Ens. Fundamental - 2ª série/3º ano
288,757811,2009,2,34.0,Estadual,Ens. Fundamental - 3ª série/4º ano
289,884159,2009,2,35.0,Estadual,Ens. Fundamental - 4ª série/5º Ano
290,1958979,2009,2,41.0,Estadual,Ens. Fundamental - 5ª série/6º ano
291,1806564,2009,2,42.0,Estadual,Ens. Fundamental - 6ª série/7º ano
292,1751198,2009,2,43.0,Estadual,Ens. Fundamental - 7ª série/8º ano
293,1711266,2009,2,44.0,Estadual,Ens. Fundamental - 8ª serie/9º ano
294,3046692,2009,2,51.0,Estadual,Ens. Médio - 1ª série
295,2202426,2009,2,52.0,Estadual,Ens. Médio - 2ª série
296,1870639,2009,2,53.0,Estadual,Ens. Médio - 3ª série
297,43618,2009,2,54.0,Estadual,Ens. Médio - 4ª série
298,164476,2009,2,61.0,Estadual,EJA - anos iniciais do Ens. Fundamental
299,1056526,2009,2,62.0,Estadual,EJA - anos finais do Ens. Fundamental
300,1401378,2009,2,63.0,Estadual,EJA - Ensino Médio
301,271128,2009,2,71.0,Estadual,Educação Profissional
302,73301,2009,3,11.0,Municipal,Creche - Menor de 1 ano
303,205392,2009,3,12.0,Municipal,Creche - 1 ano
304,436054,2009,3,13.0,Municipal,Creche - 2 anos
305,910062,2009,3,14.0,Municipal,Creche - 3 anos
306,1590637,2009,3,21.0,Municipal,Pré-escola - 4 anos
307,1953917,2009,3,22.0,Municipal,Pré-escola - 5 anos
308,1606802,2009,3,31.0,Municipal,Ens. Fundamental - 1º Ano
309,2481262,2009,3,32.0,Municipal,Ens. Fundamental - 1ª série/2º ano
310,2550341,2009,3,33.0,Municipal,Ens. Fundamental - 2ª série/3º ano
311,2458959,2009,3,34.0,Municipal,Ens. Fundamental - 3ª série/4º ano
312,2488885,2009,3,35.0,Municipal,Ens. Fundamental - 4ª série/5º Ano
313,1806338,2009,3,41.0,Municipal,Ens. Fundamental - 5ª série/6º ano
314,1474323,2009,3,42.0,Municipal,Ens. Fundamental - 6ª série/7º ano
315,1200876,2009,3,43.0,Municipal,Ens. Fundamental - 7ª série/8º ano
316,1051265,2009,3,44.0,Municipal,Ens. Fundamental - 8ª serie/9º ano
317,43697,2009,3,51.0,Municipal,Ens. Médio - 1ª série
318,31401,2009,3,52.0,Municipal,Ens. Médio - 2ª série
319,30295,2009,3,53.0,Municipal,Ens. Médio - 3ª série
320,5478,2009,3,54.0,Municipal,Ens. Médio - 4ª série
321,868761,2009,3,61.0,Municipal,EJA - anos iniciais do Ens. Fundamental
322,967860,2009,3,62.0,Municipal,EJA - anos finais do Ens. Fundamental
323,53709,2009,3,63.0,Municipal,EJA - Ensino Médio
324,25694,2009,3,71.0,Municipal,Educação Profissional
