,total,year,school_year_id,location_id,school_year_name,location_name
177,2568,2010,54.0,2,Ens. Médio - 4ª série,Rural
178,684593,2010,61.0,1,EJA - anos iniciais do Ens. Fundamental,Urbana
179,288684,2010,61.0,2,EJA - anos iniciais do Ens. Fundamental,Rural
180,1735951,2010,62.0,1,EJA - anos finais do Ens. Fundamental,Urbana
181,188653,2010,62.0,2,EJA - anos finais do Ens. Fundamental,Rural
182,1401246,2010,63.0,1,EJA - Ensino Médio,Urbana
183,26051,2010,63.0,2,EJA - Ensino Médio,Rural
184,890534,2010,71.0,1,Educação Profissional,Urbana
185,34786,2010,71.0,2,Educação Profissional,Rural
186,120386,2011,11.0,1,Creche - Menor de 1 ano,Urbana
187,2811,2011,11.0,2,Creche - Menor de 1 ano,Rural
188,368223,2011,12.0,1,Creche - 1 ano,Urbana
189,11374,2011,12.0,2,Creche - 1 ano,Rural
190,765493,2011,13.0,1,Creche - 2 anos,Urbana
191,46018,2011,13.0,2,Creche - 2 anos,Rural
192,1250047,2011,14.0,1,Creche - 3 anos,Urbana
193,144157,2011,14.0,2,Creche - 3 anos,Rural
194,1876623,2011,21.0,1,Pré-escola - 4 anos,Urbana
195,320495,2011,21.0,2,Pré-escola - 4 anos,Rural
196,2182514,2011,22.0,1,Pré-escola - 5 anos,Urbana
197,405437,2011,22.0,2,Pré-escola - 5 anos,Rural
198,2022179,2011,31.0,1,Ens. Fundamental - 1º Ano,Urbana
199,440810,2011,31.0,2,Ens. Fundamental - 1º Ano,Rural
200,2688914,2011,32.0,1,Ens. Fundamental - 1ª série/2º ano,Urbana
201,600201,2011,32.0,2,Ens. Fundamental - 1ª série/2º ano,Rural
202,2716671,2011,33.0,1,Ens. Fundamental - 2ª série/3º ano,Urbana
203,649658,2011,33.0,2,Ens. Fundamental - 2ª série/3º ano,Rural
204,2776542,2011,34.0,1,Ens. Fundamental - 3ª série/4º ano,Urbana
205,642641,2011,34.0,2,Ens. Fundamental - 3ª série/4º ano,Rural
206,2842326,2011,35.0,1,Ens. Fundamental - 4ª série/5º Ano,Urbana
